compliance_id,sap_component,resource_category,complexity,type_of_check,resource_name,command,pattern_string,expected_string,check_description,recommendation,set_by,sap_lens_category,sap_lens_topic,sap_lens_bp,sap_lens_bp_suggestion
1,Meta_Data,Meta_Data,no,Meta_Data,sap_application,ECC,,ECC,What is the SAP Application,,AWS,,,,
2,Meta_Data,Meta_Data,no,Meta_Data,type_of_system,Production,,Production,SAP Application Type,,AWS,,,,
3,Meta_Data,Meta_Data,no,Meta_Data,sid,PR1,,PR1,SAP Application SID,,AWS,,,,
4,Meta_Data,Meta_Data,no,Meta_Data,sap_instance_no,0,,0,SAP Application Instance Number,,AWS,,,,
5,Meta_Data,Meta_Data,no,Meta_Data,sap_host_name,pariaws,,pariaws,SAP instance host ,,AWS,,,,
6,Meta_Data,Meta_Data,no,Meta_Data,sap_component,PAS,,PAS,SAP Instance Type,,AWS,,,,
7,Meta_Data,Meta_Data,no,Meta_Data,ha_dr,ha_only,,ha_only,,,AWS,,,,
8,Meta_Data,Meta_Data,no,Meta_Data,responsible_team,pariaws@amazon.com,,pariaws@amazon.com,Technical Owner of SAP Application,,AWS,,,,
9,general,AWS Data Provider,high,command,Data_Provider_Running_status,"/usr/local/ec2/aws-dataprovider/bin/aws-dataprovider status | awk -F "" "" '{print $3}'",Running,Running,Is the AWS Data Provider up and running?,9,AWS,Reliability,,,
10,general,AWS Data Provider,high,command,Data_Provider_Version,"curl -s http://localhost:8888/vhostmd |grep -A 1 ""Data Provider Version"" |grep ""value"" |sed -e 's/<[^>]*>//g'",4.1.1,4.1.1,What is the AWS Data Provider Version?,"SAP requires customers to install the agent as described in SAP note 1656250
https://docs.aws.amazon.com/sap/latest/general/DP4.3.html",AWS,Reliability,,,
11,general,Operating System,high,command,Host_name,hostname,hostname,.,What is the host name?,,AWS,Reliability,,,
12,general,Operating System,high,command,RHEL Version,cat /etc/redhat-release,os version,Red Hat Enterprise Linux release 8.6 (Ootpa),What is the OS Version ?,,AWS,Reliability,,,
13,general,Operating System,high,command,Kernel Version,uname -r,kernal,4.18.0-372.91.1.el8_6.x86_64,OS Kernel version ?,,AWS,Reliability,,,
14,general,Operating System,high,command,CPU_model,"lscpu | grep '^Model name' | awk -F "":"" '{print $2}'",Model name,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,What is the CPU Model ?,,AWS,Reliability,,,
15,general,Operating System,high,command,CPU_count,nproc,nproc,32,Number of CPUs?,,AWS,Reliability,,,
16,general,Operating System,high,command,Memory ,free -m | grep Mem | awk '{print$2}',total,253629,Memory size?,,AWS,Reliability,,,
17,general,Operating System,high,command,Swap Space,swapon --show |grep SWAPS | awk '{print $3}',swap space,2G,Swap Space?,,AWS,Reliability,,,
18,general,Volumes Check,high,command,Volume_usr_sap,"var1='/usr/sap'; lsblk -P -o name,mountpoint,label,size,serial | grep -B 1 -w $var1 |awk -F 'SERIAL=' 'NR==2{print $2}'|sed 's/.//;s/.$//;s/./&-/3'",/usr/sap;iops,1000,What is /usr/sap IOPS ?,,AWS,Reliability,,,
19,general,Volumes Check,high,command,Volume_usr_sap,"var1='/usr/sap'; lsblk -P -oname,mountpoint,label,size,serial | grep -B 1 -w $var1 |awk -F 'SERIAL=' 'NR==2{print $2}'|sed 's/.//;s/.$//;s/./&-/3'",/usr/sap;encrypted,TRUE,What is /usr/sap Encryption Status ?,,AWS,Reliability,,,
20,general,Volumes Check,high,command,Volume_usr_sap,"var1='/usr/sap'; lsblk -P -o name,mountpoint,label,size,serial | grep -B 1 -w $var1 |awk -F 'SERIAL=' 'NR==2{print $2}'|sed 's/.//;s/.$//;s/./&-/3'",/usr/sap;volumetype,gp3,What is /usr/sap Volume Type?,,AWS,Reliability,,,
21,general,Volumes Check,high,command,Volume_usr_sap,"var1='/usr/sap'; lsblk -P -o name,mountpoint,label,size,serial | grep -B 1 -w $var1 |awk -F 'SERIAL=' 'NR==2{print $2}'|sed 's/.//;s/.$//;s/./&-/3'",/usr/sap;size,50,What is /usr/sap Size?,,AWS,Reliability,,,
22,general,Volumes Check,high,command,Volume_usr_sap,"var1='/usr/sap'; lsblk -P -o name,mountpoint,label,size,serial | grep -B 1 -w $var1 |awk -F 'SERIAL=' 'NR==2{print $2}'|sed 's/.//;s/.$//;s/./&-/3'",/usr/sap;state,in-use,What is /usr/sap  usage State?,,AWS,Reliability,,,
23,general,Volumes Check,high,command,Volume_usr_sap,"var1='/usr/sap'; lsblk -P -o name,mountpoint,label,size,serial | grep -B 1 -w $var1 |awk -F 'SERIAL=' 'NR==2{print $2}'|sed 's/.//;s/.$//;s/./&-/3'",/usr/sap;deleteontermination,TRUE,What is /usr/sap  DeleteOnTermination Flag State?,,AWS,Reliability,,,
24,general,Volumes Check,high,command,Volume_usr_sap,df -h | grep '/usr/sap$' | awk '{print $5}',/usr/sap;free_size,90%,what  is used %  of /usr/sap ?,,AWS,Reliability,,,
25,general,EFS Check,high,command,file_systems_sapmnt,var1='/sapmnt'; df -T $var1 | awk 'NR==2 {print $2}',/sapmnt,nfs4,What is /sapmt file system type?,"Amazon Elastic File System (Amazon EFS)
Amazon FSx for NetApp ONTAP",AWS,Reliability,,,
26,general,EFS Check,high,command,file_systems_trans,var1='/usr/sap/trans/'; df -T $var1 | awk 'NR==2 {print $2}',/usr/sap/trans/,nfs4,What is /sapmt file system type?,"Amazon Elastic File System (Amazon EFS)
Amazon FSx for NetApp ONTAP",AWS,Reliability,,,
27,general,OS Limts for SAP Instance,high,command,os_limits,"var1=""descriptors""; sudo su - $sidadm -c ""sapcontrol -nr $sap_instance_no -function OSExecute ""$(which csh) -c limit 0 0""""| grep $var1 | awk 'NR==1 {print $2}'",descriptors,1048576, maximum number of file descriptors that a process can open,1827960 - Adjusting operating system limits for SAP instances,AWS,Reliability,,,
28,general,OS Limts for SAP Instance,high,command,os_limits,"var1=""stacksize""; sudo su - $sidadm -c ""sapcontrol -nr $sap_instance_no -function OSExecute ""$(which csh) -c limit 0 0""""| grep $var1 | awk 'NR==1 {print $2}'",stacksize,8192,maximum stack size per process,1827960 - Adjusting operating system limits for SAP instances,AWS,Reliability,,,
29,general,OS Limts for SAP Instance,high,command,os_limits,"var1=""datasize""; sudo su - $sidadm -c ""sapcontrol -nr $sap_instance_no -function OSExecute ""$(which csh) -c limit 0 0""""| grep $var1 | awk 'NR==1 {print $2}'",datasize,unlimited,maximum data segment size per process,1827960 - Adjusting operating system limits for SAP instances,AWS,Reliability,,,
30,general,Detailed Monitoring,high,API,Detailed_Monitoring,API CALL,State,enabled,Is Amazon CloudWatch Detailed Monitoring turned on?,,AWS,Operational Excellence,,,
31,general,Instance Status,low,API,InstanceRunningStatus,API CALL,State,running,Is AWS instance Running ?,,AWS,Operational Excellence,,,
32,pas,SAP Kernal Version,high,command,sap_kernal_version,"var1=""disp+work""; sudo su -  $sidadm -c ""sapcontrol -nr $sap_instance_no -function GetVersionInfo"" | grep $var1 | awk -F "" "" '{print $2}' | awk -F "","" '{print $1}'",disp+work,789,What is SAP Kernel Version ?,,AWS,Operational Excellence,,,
33,pas,SAP Kernal Version,high,command,sap_kernal_version,"var1=""disp+work""; sudo su -  $sidadm -c ""sapcontrol -nr $sap_instance_no -function GetVersionInfo"" | grep $var1 | awk -F "" "" '{print $4}' | awk -F "","" '{print $1}'",disp+work,100,What is SAP Kernel Version patch ?,,AWS,Operational Excellence,,,
34,pas,SAP PAS Status,high,command,sapcontrol_function_GetProcessList,"var1=""disp+work"";  sudo su - $sidadm -c ""sapcontrol -nr $sap_instance_no -function GetProcessList"" | grep $var1 | awk -F "","" '{print $3}'",disp+work,GREEN,What is SAP PAS Dispatcher(disp+work) status?,,AWS,Operational Excellence,,,
35,pas,SAP PAS Status,high,command,sapcontrol_function_GetProcessList,"var1=""igswd_mt""; sudo su - $sidadm -c ""sapcontrol -nr $sap_instance_no -function GetProcessList""| grep $var1 | awk -F "","" '{print $3}'",igswd_mt,GREEN,What is SAP PAS IGS status?,,AWS,Operational Excellence,,,
36,pas,SAP PAS Status,high,command,sapcontrol_function_GetProcessList,"var1=""gwrd""; sudo su - $sidadm -c ""sapcontrol -nr $sap_instance_no -function GetProcessList""| grep $var1 | awk -F "","" '{print $3}'",igswd_mt,GREEN,What is SAP PAS Gateway status?,,AWS,Operational Excellence,,,
37,pas,SAP PAS Status,high,command,sapcontrol_function_GetProcessList,"var1=""icman""; sudo su - $sidadm -c ""sapcontrol -nr $sap_instance_no -function GetProcessList""| grep $var1 | awk -F "","" '{print $3}'",igswd_mt,GREEN,What is SAP PAS ICM status?,,AWS,Operational Excellence,,,
38,pas,SAP PAS SWAP,high,command,sapcontrol_function_swap_size,"var1=""partition"";sudo su - $sidadm -c ""swapon --show""| grep $var1 | awk -F "" "" '{print $3}'",partition,20G,What is SAP PAS Swap-space size?,1597355 - Swap-space recommendation for Linux,AWS,Operational Excellence,,,
39,pas,SAP PAS SWAP,high,command,sapcontrol_function_swap_used,"var1=""partition"";sudo su - $sidadm -c ""swapon --show""| grep $var1 | awk -F "" "" '{print $3}'",partition,20.8M,What is SAP PAS Swap-space used?,1597355 - Swap-space recommendation for Linux,AWS,Operational Excellence,,,
