compliance_id,sap_component,resource_category,complexity,type_of_check,resource_name,command,pattern_string,expected_string,check_description,recommendation,set_by,sap_lens_category,sap_lens_topic,sap_lens_bp,sap_lens_bp_suggestion
1,Meta_Data,Meta_Data,no,Meta_Data,sap_application,ECC,,ECC,What is the SAP Application,,AWS,,,,
2,Meta_Data,Meta_Data,no,Meta_Data,type_of_system,Production,,Production,SAP Application Type,,AWS,,,,
3,Meta_Data,Meta_Data,no,Meta_Data,sid,PR1,,PR1,SAP Application SID,,AWS,,,,
4,Meta_Data,Meta_Data,no,Meta_Data,sap_instance_no,0,,0,SAP Application Instance Number,,AWS,,,,
5,Meta_Data,Meta_Data,no,Meta_Data,sap_component,ASCS,,ASCS,SAP Instance Type,,AWS,,,,
6,Meta_Data,Meta_Data,no,Meta_Data,ha_dr,ha_only,,ha_only,SAP HANA HA/DR,,AWS,,,,
7,Meta_Data,Meta_Data,no,Meta_Data,responsible_team,pariaws@amazon.com,,pariaws@amazon.com,Technical Owner of SAP Application,,AWS,,,,
8,general,AWS Data Provider,high,command,Data_Provider_Running_status,"/usr/local/ec2/aws-dataprovider/bin/aws-dataprovider status | awk -F "" "" '{print $3}'",Running,Running,Is the AWS Data Provider up and running?,,AWS,Reliability,,,
9,general,AWS Data Provider,high,command,Data_Provider_Version,"curl -s http://localhost:8888/vhostmd |grep -A 1 ""Data Provider Version"" |grep ""value"" |sed -e 's/<[^>]*>//g'",4.1.1,4.1.1,What is the AWS Data Provider Version?,,AWS,Reliability,,,
10,general,Operating System,high,command,Host_name,hostname,hostname,.,What is the host name?,,AWS,Reliability,,,
11,general,Operating System,high,command,RHEL Version,cat /etc/redhat-release,os version,Red Hat Enterprise Linux release 8.6 (Ootpa),What is the OS Version ?,,AWS,,,,
12,general,Operating System,high,command,Kernel Version,uname -r,kernal,4.18.0-372.91.1.el8_6.x86_64,OS Kernal version ?,,AWS,,,,
13,general,Operating System,high,command,CPU_model,"lscpu | grep '^Model name' | awk -F "":"" '{print $2}'",Model name,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,What is the CPU Model ?,,AWS,,,,
14,general,Operating System,high,command,CPU_count,nproc,nproc,32,Number of CPUs?,,AWS,,,,
15,general,Operating System,high,command,Memory ,free -m | grep Mem | awk '{print$2}',total,253629,Memory size?,,AWS,,,,
16,general,Operating System,high,command,Swap Space,swapon --show |grep SWAPS | awk '{print $3}',swap space,2G,Swap Space?,,AWS,,,,
17,hana_db,HANA Volumes Check,high,command,Volume_HANA_DATA,"var1='/hana/data'; lsblk -P -o name,mountpoint,label,size,serial | grep -B 1 -w $var1 |awk -F 'SERIAL=' 'NR==1{print $2}'| sed 's/.//;s/.$//;s/./&-/3'",iops,7500,What is HANA-DATA IOPS ?,https://docs.aws.amazon.com/sap/latest/sap-hana/hana-ops-storage-config.html,AWS,Reliability,,,
18,hana_db,HANA Volumes Check,high,command,Volume_HANA_DATA,"var1='/hana/data'; lsblk -P -o name,mountpoint,label,size,serial | grep -B 1 -w $var1 |awk -F 'SERIAL=' 'NR==1{print $2}'| sed 's/.//;s/.$//;s/./&-/3'",encrypted,TRUE,What is HANA-DATA Encrypiton Status ?,https://docs.aws.amazon.com/sap/latest/sap-hana/hana-ops-storage-config.html,AWS,Reliability,,,
19,hana_db,HANA Volumes Check,high,command,Volume_HANA_DATA,"var1='/hana/data'; lsblk -P -o name,mountpoint,label,size,serial | grep -B 1 -w $var1 |awk -F 'SERIAL=' 'NR==1{print $2}'| sed 's/.//;s/.$//;s/./&-/3'",volumetype,gp3,What is HANA-DATA Volume Type?,https://docs.aws.amazon.com/sap/latest/sap-hana/hana-ops-storage-config.html,AWS,Reliability,,,
20,hana_db,HANA Volumes Check,high,command,Volume_HANA_DATA,"var1='/hana/data'; lsblk -P -o name,mountpoint,label,size,serial | grep -B 1 -w $var1 |awk -F 'SERIAL=' 'NR==1{print $2}'| sed 's/.//;s/.$//;s/./&-/3'",size,500,What is HANA-DATA Size?,https://docs.aws.amazon.com/sap/latest/sap-hana/hana-ops-storage-config.html,AWS,Reliability,,,
21,hana_db,HANA Volumes Check,high,command,Volume_HANA_DATA,"var1='/hana/data'; lsblk -P -o name,mountpoint,label,size,serial | grep -B 1 -w $var1 |awk -F 'SERIAL=' 'NR==1{print $2}'| sed 's/.//;s/.$//;s/./&-/3'",throughput,425 ,What is HANA-DATA Throughput ?,https://docs.aws.amazon.com/sap/latest/sap-hana/hana-ops-storage-config.html,AWS,Reliability,,,
22,hana_db,HANA Volumes Check,high,command,Volume_HANA_DATA,"var1='/hana/data'; lsblk -P -o name,mountpoint,label,size,serial | grep -B 1 -w $var1 |awk -F 'SERIAL=' 'NR==1{print $2}'| sed 's/.//;s/.$//;s/./&-/3'",deleteontermination,TRUE,What is HANA-DATA DeleteOnTermination Flag?,https://docs.aws.amazon.com/sap/latest/sap-hana/hana-ops-storage-config.html,AWS,Reliability,,,
23,hana_db,HANA Volumes Check,high,command,Volume_HANA_DATA,"var1='/hana/data'; lsblk -P -o name,mountpoint,label,size,serial | grep -B 1 -w $var1 |awk -F 'SERIAL=' 'NR==1{print $2}'| sed 's/.//;s/.$//;s/./&-/3'",state,in-use,What is HANA-DATA  usgae State?,https://docs.aws.amazon.com/sap/latest/sap-hana/hana-ops-storage-config.html,AWS,Reliability,,,
24,hana_db,HANA Volumes Check,high,command,Volume_HANA_LOG,"var1='/hana/log'; lsblk -P -o name,mountpoint,label,size,serial | grep -B 1 -w $var1 |awk -F 'SERIAL=' 'NR==1{print $2}'| sed 's/.//;s/.$//;s/./&-/3'",iops,3000,What is HANA-LOG IOPS ?,https://docs.aws.amazon.com/sap/latest/sap-hana/hana-ops-storage-config.html,AWS,Reliability,,,
25,hana_db,HANA Volumes Check,high,command,Volume_HANA_LOG,"var1='/hana/log'; lsblk -P -o name,mountpoint,label,size,serial | grep -B 1 -w $var1 |awk -F 'SERIAL=' 'NR==1{print $2}'| sed 's/.//;s/.$//;s/./&-/3'",encrypted,TRUE,What is HANA-LOG Encrypiton Status ?,https://docs.aws.amazon.com/sap/latest/sap-hana/hana-ops-storage-config.html,AWS,Reliability,,,
26,hana_db,HANA Volumes Check,high,command,Volume_HANA_LOG,"var1='/hana/log'; lsblk -P -o name,mountpoint,label,size,serial | grep -B 1 -w $var1 |awk -F 'SERIAL=' 'NR==1{print $2}'| sed 's/.//;s/.$//;s/./&-/3'",volumetype,gp3,What is HANA-LOG Volume Type ?,https://docs.aws.amazon.com/sap/latest/sap-hana/hana-ops-storage-config.html,AWS,Reliability,,,
27,hana_db,HANA Volumes Check,high,command,Volume_HANA_LOG,"var1='/hana/log'; lsblk -P -o name,mountpoint,label,size,serial | grep -B 1 -w $var1 |awk -F 'SERIAL=' 'NR==1{print $2}'| sed 's/.//;s/.$//;s/./&-/3'",size,128,What is HANA-LOG Size?,https://docs.aws.amazon.com/sap/latest/sap-hana/hana-ops-storage-config.html,AWS,Reliability,,,
28,hana_db,HANA Volumes Check,high,command,Volume_HANA_LOG,"var1='/hana/log'; lsblk -P -o name,mountpoint,label,size,serial | grep -B 1 -w $var1 |awk -F 'SERIAL=' 'NR==1{print $2}'| sed 's/.//;s/.$//;s/./&-/3'",throughput,275 ,What is HANA-LOG Throughput ?,https://docs.aws.amazon.com/sap/latest/sap-hana/hana-ops-storage-config.html,AWS,Reliability,,,
29,hana_db,HANA Volumes Check,high,command,Volume_HANA_LOG,"var1='/hana/log'; lsblk -P -o name,mountpoint,label,size,serial | grep -B 1 -w $var1 |awk -F 'SERIAL=' 'NR==1{print $2}'| sed 's/.//;s/.$//;s/./&-/3'",deleteontermination,TRUE,What is HANA-LOG DeleteOnTermination Flag?,https://docs.aws.amazon.com/sap/latest/sap-hana/hana-ops-storage-config.html,AWS,Reliability,,,
30,hana_db,HANA Volumes Check,low,command,Volume_HANA_LOG,"var1='/hana/log'; lsblk -P -o name,mountpoint,label,size,serial | grep -B 1 -w $var1 |awk -F 'SERIAL=' 'NR==1{print $2}'| sed 's/.//;s/.$//;s/./&-/3'",state,in-use,What is HANA-LOG  State?,https://docs.aws.amazon.com/sap/latest/sap-hana/hana-ops-storage-config.html,AWS,Reliability,,,
31,hana_db,HANA Volumes Check,high,command,Volume_HANA_SHARED,"var1='/hana/shared'; lsblk -P -o name,mountpoint,label,size,serial | grep  -w $var1 |awk -F 'SERIAL=' 'NR==1{print $2}'| sed 's/.//;s/.$//;s/./&-/3'",iops,3000,What is HANA-SHARED IOPS ?,https://docs.aws.amazon.com/sap/latest/sap-hana/hana-ops-storage-config.html,AWS,Reliability,,,
32,hana_db,HANA Volumes Check,high,command,Volume_HANA_SHARED,"var1='/hana/shared'; lsblk -P -o name,mountpoint,label,size,serial | grep  -w $var1 |awk -F 'SERIAL=' 'NR==1{print $2}'| sed 's/.//;s/.$//;s/./&-/3'",encrypted,TRUE,What is HANA-SHARED Encrypiton Status ?,https://docs.aws.amazon.com/sap/latest/sap-hana/hana-ops-storage-config.html,AWS,Reliability,,,
33,hana_db,HANA Volumes Check,high,command,Volume_HANA_SHARED,"var1='/hana/shared'; lsblk -P -o name,mountpoint,label,size,serial | grep  -w $var1 |awk -F 'SERIAL=' 'NR==1{print $2}'| sed 's/.//;s/.$//;s/./&-/3'",deleteontermination,TRUE,What is HANA-Shared DeleteOnTermination Flag?,https://docs.aws.amazon.com/sap/latest/sap-hana/hana-ops-storage-config.html,AWS,Reliability,,,
